orthogroup_id	query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
OG0002542	Platygyra_sinensis_SDTHv1___evm.model.contig_52620.10	400682.PAC_15722137	0.000354	50.1	COG5307@1|root,KOG0930@2759|Eukaryota,38E0F@33154|Opisthokonta,3BBZ8@33208|Metazoa	33208|Metazoa	U	Cytohesin	CYTH1	GO:0000139,GO:0000187,GO:0001700,GO:0001726,GO:0001932,GO:0001934,GO:0002009,GO:0002165,GO:0003674,GO:0005085,GO:0005086,GO:0005488,GO:0005515,GO:0005543,GO:0005547,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005794,GO:0005829,GO:0005886,GO:0005911,GO:0005912,GO:0005923,GO:0005938,GO:0006810,GO:0006897,GO:0006996,GO:0007010,GO:0007163,GO:0007275,GO:0007391,GO:0007399,GO:0007444,GO:0007472,GO:0007476,GO:0007552,GO:0007560,GO:0008150,GO:0008289,GO:0008586,GO:0009653,GO:0009790,GO:0009791,GO:0009792,GO:0009886,GO:0009887,GO:0009888,GO:0009893,GO:0009898,GO:0009966,GO:0009967,GO:0009987,GO:0010562,GO:0010604,GO:0010646,GO:0010647,GO:0010721,GO:0010975,GO:0010977,GO:0012505,GO:0014066,GO:0014068,GO:0016020,GO:0016043,GO:0016192,GO:0016331,GO:0019220,GO:0019222,GO:0019897,GO:0019898,GO:0019899,GO:0022008,GO:0023051,GO:0023056,GO:0030010,GO:0030029,GO:0030036,GO:0030054,GO:0030100,GO:0030154,GO:0030155,GO:0030496,GO:0031090,GO:0031234,GO:0031252,GO:0031323,GO:0031325,GO:0031344,GO:0031345,GO:0031399,GO:0031401,GO:0031974,GO:0031981,GO:0031984,GO:0032012,GO:0032014,GO:0032147,GO:0032153,GO:0032154,GO:0032155,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032879,GO:0032956,GO:0032970,GO:0033043,GO:0033674,GO:0035091,GO:0035107,GO:0035114,GO:0035120,GO:0035220,GO:0035239,GO:0035295,GO:0036094,GO:0040008,GO:0040014,GO:0040018,GO:0042325,GO:0042327,GO:0042802,GO:0042803,GO:0042995,GO:0043085,GO:0043167,GO:0043168,GO:0043178,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043296,GO:0043405,GO:0043406,GO:0043408,GO:0043410,GO:0043549,GO:0044093,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044431,GO:0044444,GO:0044446,GO:0044448,GO:0044459,GO:0044464,GO:0045595,GO:0045596,GO:0045664,GO:0045665,GO:0045785,GO:0045859,GO:0045860,GO:0045927,GO:0045937,GO:0046578,GO:0046579,GO:0046626,GO:0046628,GO:0046983,GO:0048193,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048563,GO:0048569,GO:0048583,GO:0048584,GO:0048598,GO:0048638,GO:0048639,GO:0048699,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048856,GO:0048869,GO:0050767,GO:0050768,GO:0050773,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0051020,GO:0051049,GO:0051056,GO:0051057,GO:0051093,GO:0051094,GO:0051128,GO:0051129,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051338,GO:0051347,GO:0051493,GO:0051960,GO:0051961,GO:0060255,GO:0060284,GO:0060429,GO:0060562,GO:0060627,GO:0065007,GO:0065009,GO:0070013,GO:0070160,GO:0070161,GO:0070679,GO:0071840,GO:0071900,GO:0071902,GO:0071944,GO:0080090,GO:0090162,GO:0098552,GO:0098562,GO:0098588,GO:0098590,GO:0098657,GO:0098772,GO:0098791,GO:0099568,GO:0099738,GO:0110020,GO:0120025,GO:0120035,GO:1900076,GO:1900078,GO:1901981,GO:1902531,GO:1902533,GO:1904269,GO:2000026,GO:2000171,GO:2000479,GO:2000481	-	ko:K18441	ko04072,ko04144,map04072,map04144	-	-	-	ko00000,ko00001,ko04131	-	-	-	-
OG0002542	Porites_evermanni_NAPFv1___00015280	1267533.KB906739_gene2481	2.08e-05	55.1	COG1858@1|root,COG1858@2|Bacteria,3Y58I@57723|Acidobacteria,2JKKG@204432|Acidobacteriia	204432|Acidobacteriia	P	cytochrome C peroxidase	-	-	-	-	-	-	-	-	-	-	-	-	-
OG0007567	Acropora_muricata_SLJPv1___s0152.g29.t1	45351.EDO30954	2.67e-54	201.0	29P1Z@1|root,2RWDA@2759|Eukaryota,38VHI@33154|Opisthokonta,3BVTB@33208|Metazoa	33208|Metazoa	S	Perilipin family	-	-	-	-	-	-	-	-	-	-	-	-	-
OG0008162	Porites_compressa_KBHIv1___RNAseq.g1394.t1	44689.DDB0218870	0.000989	50.8	29AMF@1|root,2RHQ5@2759|Eukaryota,3XHCE@554915|Amoebozoa	44689.DDB0218870|-	S	Parallel beta-helix repeats	-	-	-	-	-	-	-	-	-	-	-	-	-
OG0008698	Alatina_alata_BNNLv1-TRANS___68342	45351.EDO44031	1.27e-07	58.2	KOG3397@1|root,KOG3397@2759|Eukaryota,3A13R@33154|Opisthokonta,3BTBK@33208|Metazoa	33208|Metazoa	S	N-acetyltransferase 6	NAT6	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006464,GO:0006473,GO:0006807,GO:0008080,GO:0008150,GO:0008152,GO:0009987,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033218,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0043543,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0048037,GO:0050662,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564,GO:1901681,GO:1905502	1.13.11.52	ko:K00463	ko00380,ko01100,ko05143,map00380,map01100,map05143	M00038	R00678,R02702,R02909,R03628	RC00356	ko00000,ko00001,ko00002,ko01000	-	-	-	-
OG0008698	Alatina_alata_BNNLv1-TRANS___68351	45351.EDO44031	1.27e-07	58.2	KOG3397@1|root,KOG3397@2759|Eukaryota,3A13R@33154|Opisthokonta,3BTBK@33208|Metazoa	33208|Metazoa	S	N-acetyltransferase 6	NAT6	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006464,GO:0006473,GO:0006807,GO:0008080,GO:0008150,GO:0008152,GO:0009987,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033218,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0043543,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0048037,GO:0050662,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564,GO:1901681,GO:1905502	1.13.11.52	ko:K00463	ko00380,ko01100,ko05143,map00380,map01100,map05143	M00038	R00678,R02702,R02909,R03628	RC00356	ko00000,ko00001,ko00002,ko01000	-	-	-	-
OG0008698	Alatina_alata_BNNLv1-TRANS___68364	45351.EDO44031	1.27e-07	58.2	KOG3397@1|root,KOG3397@2759|Eukaryota,3A13R@33154|Opisthokonta,3BTBK@33208|Metazoa	33208|Metazoa	S	N-acetyltransferase 6	NAT6	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006464,GO:0006473,GO:0006807,GO:0008080,GO:0008150,GO:0008152,GO:0009987,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033218,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0043543,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0048037,GO:0050662,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564,GO:1901681,GO:1905502	1.13.11.52	ko:K00463	ko00380,ko01100,ko05143,map00380,map01100,map05143	M00038	R00678,R02702,R02909,R03628	RC00356	ko00000,ko00001,ko00002,ko01000	-	-	-	-
OG0008698	Alatina_alata_BNNLv1-TRANS___68372	45351.EDO44031	1.27e-07	58.2	KOG3397@1|root,KOG3397@2759|Eukaryota,3A13R@33154|Opisthokonta,3BTBK@33208|Metazoa	33208|Metazoa	S	N-acetyltransferase 6	NAT6	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006464,GO:0006473,GO:0006807,GO:0008080,GO:0008150,GO:0008152,GO:0009987,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033218,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0043543,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0048037,GO:0050662,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564,GO:1901681,GO:1905502	1.13.11.52	ko:K00463	ko00380,ko01100,ko05143,map00380,map01100,map05143	M00038	R00678,R02702,R02909,R03628	RC00356	ko00000,ko00001,ko00002,ko01000	-	-	-	-
OG0008698	Gorgonia_ventalina_LRPRv1___GV_87861.p1	45351.EDO44031	5.68e-15	76.6	KOG3397@1|root,KOG3397@2759|Eukaryota,3A13R@33154|Opisthokonta,3BTBK@33208|Metazoa	33208|Metazoa	S	N-acetyltransferase 6	NAT6	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006464,GO:0006473,GO:0006807,GO:0008080,GO:0008150,GO:0008152,GO:0009987,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033218,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0043543,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0048037,GO:0050662,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564,GO:1901681,GO:1905502	1.13.11.52	ko:K00463	ko00380,ko01100,ko05143,map00380,map01100,map05143	M00038	R00678,R02702,R02909,R03628	RC00356	ko00000,ko00001,ko00002,ko01000	-	-	-	-
OG0008698	Renilla_muelleri_FLUSv1___g19902.t1	45351.EDO44031	1.71e-13	75.9	KOG3397@1|root,KOG3397@2759|Eukaryota,3A13R@33154|Opisthokonta,3BTBK@33208|Metazoa	33208|Metazoa	S	N-acetyltransferase 6	NAT6	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006464,GO:0006473,GO:0006807,GO:0008080,GO:0008150,GO:0008152,GO:0009987,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033218,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0043543,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0048037,GO:0050662,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564,GO:1901681,GO:1905502	1.13.11.52	ko:K00463	ko00380,ko01100,ko05143,map00380,map01100,map05143	M00038	R00678,R02702,R02909,R03628	RC00356	ko00000,ko00001,ko00002,ko01000	-	-	-	-
