orthogroup_id	seqid	source	type	start	end	score	strand	phase	attributes
OG0002542	Velella_velella_OKJPv1___GHAZ01007402.1.p1	TMHMM	protein_match	92	114	.	+	.	date=22-11-2022;Target=Velella_velella_OKJPv1___GHAZ01007402.1.p1 92 114;ID=match$471436_92_114;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Velella_velella_OKJPv1___GHAZ01007402.1.p1	TMHMM	protein_match	119	136	.	+	.	date=22-11-2022;Target=Velella_velella_OKJPv1___GHAZ01007402.1.p1 119 136;ID=match$471440_119_136;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Gorgonia_ventalina_LRPRv1___GV_45875.p1	TMHMM	protein_match	154	176	.	+	.	date=08-06-2023;Target=Gorgonia_ventalina_LRPRv1___GV_45875.p1 154 176;ID=match$176188_154_176;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Gorgonia_ventalina_LRPRv1___GV_45875.p1	TMHMM	protein_match	99	121	.	+	.	date=08-06-2023;Target=Gorgonia_ventalina_LRPRv1___GV_45875.p1 99 121;ID=match$176193_99_121;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Gorgonia_ventalina_LRPRv1___GV_45875.p1	TMHMM	protein_match	12	34	.	+	.	date=08-06-2023;Target=Gorgonia_ventalina_LRPRv1___GV_45875.p1 12 34;ID=match$176197_12_34;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Gorgonia_ventalina_LRPRv1___GV_45875.p1	TMHMM	protein_match	64	86	.	+	.	date=08-06-2023;Target=Gorgonia_ventalina_LRPRv1___GV_45875.p1 64 86;ID=match$176199_64_86;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Gorgonia_ventalina_LRPRv1___GV_64684.p1	TMHMM	protein_match	125	147	.	+	.	date=08-06-2023;Target=Gorgonia_ventalina_LRPRv1___GV_64684.p1 125 147;ID=match$425437_125_147;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Gorgonia_ventalina_LRPRv1___GV_64684.p1	TMHMM	protein_match	29	51	.	+	.	date=08-06-2023;Target=Gorgonia_ventalina_LRPRv1___GV_64684.p1 29 51;ID=match$425439_29_51;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Gorgonia_ventalina_LRPRv1___GV_64684.p1	TMHMM	protein_match	98	120	.	+	.	date=08-06-2023;Target=Gorgonia_ventalina_LRPRv1___GV_64684.p1 98 120;ID=match$425441_98_120;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Gorgonia_ventalina_LRPRv1___GV_64684.p1	TMHMM	protein_match	66	85	.	+	.	date=08-06-2023;Target=Gorgonia_ventalina_LRPRv1___GV_64684.p1 66 85;ID=match$425446_66_85;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Renilla_muelleri_FLUSv1___g2606.t1	TMHMM	protein_match	25	47	.	+	.	date=26-11-2022;Target=Renilla_muelleri_FLUSv1___g2606.t1 25 47;ID=match$176325_25_47;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Renilla_muelleri_FLUSv1___g2606.t1	TMHMM	protein_match	210	232	.	+	.	date=26-11-2022;Target=Renilla_muelleri_FLUSv1___g2606.t1 210 232;ID=match$176326_210_232;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Renilla_muelleri_FLUSv1___g2606.t1	TMHMM	protein_match	62	79	.	+	.	date=26-11-2022;Target=Renilla_muelleri_FLUSv1___g2606.t1 62 79;ID=match$176329_62_79;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Renilla_muelleri_FLUSv1___g2606.t1	TMHMM	protein_match	121	143	.	+	.	date=26-11-2022;Target=Renilla_muelleri_FLUSv1___g2606.t1 121 143;ID=match$176332_121_143;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Renilla_muelleri_FLUSv1___g2606.t1	TMHMM	protein_match	176	198	.	+	.	date=26-11-2022;Target=Renilla_muelleri_FLUSv1___g2606.t1 176 198;ID=match$176334_176_198;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Renilla_muelleri_FLUSv1___g2606.t1	TMHMM	protein_match	236	258	.	+	.	date=26-11-2022;Target=Renilla_muelleri_FLUSv1___g2606.t1 236 258;ID=match$176335_236_258;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Renilla_muelleri_FLUSv1___g2606.t1	TMHMM	protein_match	265	287	.	+	.	date=26-11-2022;Target=Renilla_muelleri_FLUSv1___g2606.t1 265 287;ID=match$176339_265_287;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Corallium_rubrum_MRFRv1___Contig_25882.p1	TMHMM	protein_match	25	47	.	+	.	date=07-06-2023;Target=Corallium_rubrum_MRFRv1___Contig_25882.p1 25 47;ID=match$113406_25_47;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Corallium_rubrum_MRFRv1___Contig_25882.p1	TMHMM	protein_match	213	235	.	+	.	date=07-06-2023;Target=Corallium_rubrum_MRFRv1___Contig_25882.p1 213 235;ID=match$113410_213_235;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Corallium_rubrum_MRFRv1___Contig_25882.p1	TMHMM	protein_match	62	81	.	+	.	date=07-06-2023;Target=Corallium_rubrum_MRFRv1___Contig_25882.p1 62 81;ID=match$113416_62_81;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Corallium_rubrum_MRFRv1___Contig_25882.p1	TMHMM	protein_match	268	290	.	+	.	date=07-06-2023;Target=Corallium_rubrum_MRFRv1___Contig_25882.p1 268 290;ID=match$113419_268_290;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Corallium_rubrum_MRFRv1___Contig_25882.p1	TMHMM	protein_match	88	105	.	+	.	date=07-06-2023;Target=Corallium_rubrum_MRFRv1___Contig_25882.p1 88 105;ID=match$113421_88_105;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Corallium_rubrum_MRFRv1___Contig_25882.p1	TMHMM	protein_match	120	142	.	+	.	date=07-06-2023;Target=Corallium_rubrum_MRFRv1___Contig_25882.p1 120 142;ID=match$113422_120_142;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Corallium_rubrum_MRFRv1___Contig_25882.p1	TMHMM	protein_match	239	261	.	+	.	date=07-06-2023;Target=Corallium_rubrum_MRFRv1___Contig_25882.p1 239 261;ID=match$113426_239_261;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Corallium_rubrum_MRFRv1___Contig_34075.p1	TMHMM	protein_match	63	82	.	+	.	date=07-06-2023;Target=Corallium_rubrum_MRFRv1___Contig_34075.p1 63 82;ID=match$208361_63_82;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Corallium_rubrum_MRFRv1___Contig_34075.p1	TMHMM	protein_match	121	143	.	+	.	date=07-06-2023;Target=Corallium_rubrum_MRFRv1___Contig_34075.p1 121 143;ID=match$208365_121_143;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
OG0002542	Corallium_rubrum_MRFRv1___Contig_34075.p1	TMHMM	protein_match	89	106	.	+	.	date=07-06-2023;Target=Corallium_rubrum_MRFRv1___Contig_34075.p1 89 106;ID=match$208366_89_106;signature_desc=Region of a membrane-bound protein predicted to be embedded in the membrane.;Name=TMhelix;status=T
